Actividad Económica,Producto,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023(p), 2024(p),Enero a Marzo 2025(p)
"AGRICULTURA, GANADERÍA, CAZA SILVICULTURA Y PESCA",Maíz,0.062131,0.111683,0.331087,0.85897,0.7615069999999999,0.631535,0.14300600000000002,1.184382,0.5768729999999999,1.4244694699999996,0.7178244300000001,0.9719672599999998,1.4745845400000002,0.6994853300000001,3.20314292,4.0992586499999994,2.627063040000001,7.04855793,2.7146408699999993,0.8652566999999999,17.458495860000014,11.940593530000001,6.1692262399999995,24.94500583,8.743628320000003,7.49965898,5.235272860000002,3.92575557,8.708103210000004,17.16485945,5.5845384199999994,3.6208068,8.1986005,2.0336861099999997
"AGRICULTURA, GANADERÍA, CAZA SILVICULTURA Y PESCA",Maníes,0.000282,0.0050230000000000006,0.12909800000000002,0.040137,0.0025989999999999997,0.019428,0.063533,0.28002900000000003,0.055325,0.39180757000000005,0.42801405,1.0161325700000001,1.26069196,2.20896516,1.7232441500000002,2.8090989600000005,6.658096639999999,2.7077264999999997,3.4253299200000003,5.5878344,7.398527929999999,6.197470740000001,8.149327640000001,9.36046576,9.16610735,10.7794509,10.5455665,10.793903210000002,10.209718169999999,15.36940253,16.69212629,14.598027740000001,11.27713746,3.89315154
"AGRICULTURA, GANADERÍA, CAZA SILVICULTURA Y PESCA",Semillas de Girasol,0.102296,0.6649489999999999,0.6688700000000001,0.33768000000000004,0.856796,0.25981699999999996,1.954984,1.420815,0.17586100000000002,0.075382,0.23431636,0.8687499999999998,0.50142056,0.55289636,0.4057738800000001,2.6481126699999997,15.14026061,16.76969188,6.41861085,1.79359235,4.69908568,5.48405594,2.04593004,0.91096371,0.6508193,1.6321280900000004,1.17368233,1.39634011,1.6884336500000001,0.31315882,1.5023527300000001,1.94384138,0.98694236,0.009
"AGRICULTURA, GANADERÍA, CAZA SILVICULTURA Y PESCA",Frutas y Frutos Comestibles,0.00067,0.024226,1.388203,0.159223,0.358585,0.069993,0.17816800000000005,0.039348,0.1355,0.17439472,1.1295023900000003,0.8119913500000002,5.792236509999999,1.0323319799999997,0.92206816,0.8105915100000001,1.0177355199999998,0.62654231,1.39416391,1.35370799,1.5011735900000003,1.5612139699999998,2.3554996800000008,4.208802410000001,3.9221821499999994,2.473066400000001,0.6792092,0.6515898500000001,1.79333849,1.34008048,0.48851909,0.40062521999999995,0.4844032199999999,0.06384577
"AGRICULTURA, GANADERÍA, CAZA SILVICULTURA Y PESCA",Cacao en Grano,0.180005,0.435018,0.539624,0.331046,0.24207800000000002,0.377192,0.32939999999999997,0.262752,0.411256,0.29604954999999994,0.33643606,0.39088784,0.50357603,0.53632636,0.56230394,0.7379091,0.60381267,1.19089185,2.40063855,1.9639680400000004,1.4356407999999998,0.8471375000000001,0.37227166999999994,1.4281699999999997,0.6871023500000002,0.9723143000000002,1.16392554,0.9271460100000001,1.04098561,0.68103583,0.6381527,1.56568946,10.63872917,1.87506499
"AGRICULTURA, GANADERÍA, CAZA SILVICULTURA Y PESCA",Flores,0.975342,0.654881,1.415258,0.8217959999999999,0.9565930000000004,0.5718330000000004,0.8147369999999999,0.5708819999999998,0.4209489999999999,0.28333749999999996,0.16281033000000006,0.09429518000000002,0.021081850000000003,0.04375625,0.03286251,0.0250199,0.006323789999999998,0.009790349999999998,0.03240080000000001,0.05437359999999999,0.05347979999999997,0.0229214,0.0087,0.00155,0.0007685,0.0044103,,,,0.0007961,0.0,,0.00025,0.00114
"AGRICULTURA, GANADERÍA, CAZA SILVICULTURA Y PESCA",Ganado Vacuno,,0.63,2.905,,0.495,0.66,0.6757,0.675,0.22999999999999998,,0.7415,0.1026,,,,,,,,,,,,,,,,,,,,,,
"AGRICULTURA, GANADERÍA, CAZA SILVICULTURA Y PESCA",Maderas sin Aserrar,0.00216,,,0.270287,0.910407,0.9248839999999999,0.1095,0.046672,0.044034,0.108886,0.00405816,0.30924543,0.23456437000000002,0.17187342,0.24332926,0.22422583,0.20178190000000001,0.08498097,0.09837102,0.12458684,0.0279655,0.28093,0.26499934,0.0048058,0.022763150000000003,,,,,,,,,
"AGRICULTURA, GANADERÍA, CAZA SILVICULTURA Y PESCA",Cueros en Bruto,0.020684,0.45157499999999995,,0.00266,0.000301,0.142055,0.010981,0.080088,,0.0717572,0.8482342500000001,0.522565,0.068705,0.063203,0.19036599999999998,,0.00018,0.024334559999999998,0.0789041,0.17400436000000002,0.00209452,,0.015449000000000001,0.018809,,,,,0.058468000000000006,0.24390099999999998,0.30623100000000003,0.20880899,0.35504598,
"AGRICULTURA, GANADERÍA, CAZA SILVICULTURA Y PESCA",Pesca,0.282131,0.339627,0.13816900000000001,0.129352,0.04005299999999999,0.026085999999999998,0.05077,0.002,,,,,,0.0008038100000000001,0.00041493,0.00190877,0.0066992,,,,,,,,,,,,,,,,,
