Actividad Económica,Producto,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023(p), 2024(p),Enero a Marzo 2025(p)
EXTRACCIÓN DE HIDROCARBUROS,EXTRACCIÓN DE HIDROCARBUROS,2852705.5000000005,2852305.233,2947126.8759999997,3068785.7249999996,2951154.865,2376022.716,2431024.62,1699240.1779999998,1806616.1120000002,3361034.28514,4157248.48398,4757021.78083,7149608.77153,8694790.652660001,9361691.202030001,9578767.2821,9657778.04105,7803606.11507,9149424.2788,9898765.14603,11739293.80008,13621519.47289,14197316.858819999,13775144.1863,12326429.606040003,11604746.852969998,10581104.06695,8959903.22098,9086764.09296,9050485.44761,7631653.811299999,6094961.33776,4787286.00854,919327.31801
EXTRACCIÓN DE HIDROCARBUROS,Gas Natural,2836861.1750000003,2784046.433,2883106.8759999997,2729966.371,2733122.5130000003,2153314.4,2092326.328,1437087.754,1624864.323,3117825.90714,3771551.03998,4316617.314619999,6476168.240569999,7967079.3062,8656708.884720001,9085705.353,9225356.04905,7518311.97207,8856825.7148,9606824.17303,11225407.89298,12981068.30892,13464476.33501,13219276.55696,12050503.342040002,11461526.284969999,10441139.53895,8903618.51698,9057615.32096,8989591.19599,7630947.8911,6059659.134,4784249.311989999,919327.31801
EXTRACCIÓN DE HIDROCARBUROS,Combustibles,15844.325,68258.8,64020.0,338819.35399999993,218032.35199999998,222708.316,338698.292,262152.424,181751.789,243208.37799999997,385697.444,440404.4662100001,673440.5309600001,727711.3464600003,704982.3173100001,493061.92910000007,432421.99199999997,285294.143,292598.564,291940.973,513885.9071,640451.1639700001,732840.5238099999,555867.6293400001,275926.26399999997,143220.56799999997,139964.528,56284.704,29148.772,60894.251619999995,705.9202,35302.20376,3036.6965499999997,
EXTRACCIÓN  DE MINERALES,EXTRACCIÓN  DE MINERALES,412068.133,353685.41399999993,290271.45199999993,370138.716,357109.3919999999,380426.34,382267.30299999996,350451.38599999994,375491.339,335642.77327,375612.48126000003,422546.74908,430463.03737,435271.68459,517124.1773299999,636941.79604,994328.6260599997,1044495.3596000001,1057693.47672,1206898.9749999999,1118373.96474,1176289.6768299998,1094778.28449,1117281.8070699999,1219989.3288200002,1268936.7120500002,1304500.8379300002,1281385.9671700003,969996.2625600001,1283201.83994,1570134.5837599998,1183839.6444299999,1260336.56407,253337.13728000002
EXTRACCIÓN  DE MINERALES,Mineral de Zinc,292526.91800000006,245539.20400000003,210031.297,292812.10599999997,297973.2349999999,311324.132,311792.248,294553.366,301096.14499999996,268819.1527,289591.48256000003,304663.4557,295508.96685,305025.54561000003,368377.9491099999,438823.59559,743752.02036,786413.4491300001,775365.9850399999,815900.92325,732140.39961,752918.0862199999,709403.2777700002,686556.32571,720783.05944,727394.7656200001,764464.9830199999,759024.28215,526787.1689800001,701013.20419,774485.09643,585764.3472099999,536839.1440300001,121923.19475000001
EXTRACCIÓN  DE MINERALES,Mineral de Plata,1641.073,2744.6079999999997,2204.297,2627.660999999999,3742.5310000000004,2307.4489999999996,1641.817,1703.2820000000004,2175.434,2276.91028,2820.84398,3498.79043,3480.38259,3302.3620900000005,4311.59941,3879.1044500000003,10122.54098,10158.899399999998,11850.23345,13330.277479999999,14625.581629999999,16110.22067,15086.763029999998,15762.90494,20296.58282,15504.93217,12820.84626,19511.88854,14286.19698,13173.861299999999,13926.4817,6230.48028,2484.6867400000006,593.4971899999999
EXTRACCIÓN  DE MINERALES,Mineral de Plomo,35348.103,38365.778999999995,38220.413,35076.439,29417.48,35811.518,34936.681,24925.042,27252.651,23690.576779999996,28838.018329999995,28750.28366,35257.61668000001,34793.46518,41467.772370000006,51793.82715,141808.79953000002,137207.46528,122313.4327,170852.25571,144035.54703999998,146966.94105,114692.83525999999,109635.16174,120340.9199,147543.00772000002,149467.04498999997,123530.73138,90083.24474999998,136668.54843,139133.50779,109258.66002000001,115101.57304999998,26748.88445
EXTRACCIÓN  DE MINERALES,Mineral de Estaño,6206.309,2895.6859999999997,2532.877,2439.813,3768.929,3552.8330000000005,2616.779,1842.144,3553.0150000000003,2008.4429999999998,4025.9002800000007,5408.12126,7112.2016699999995,6193.13259,6380.402099999999,5294.09009,5896.24232,4942.6012,6982.518260000001,5452.6070500000005,5565.78907,3567.7513599999997,2108.55593,2460.09344,823.5671999999998,112.81709,69.283,47.209,3376.2506500000004,5992.691,82.12567999999999,819.7923999999999,2881.3198800000005,810.33051
EXTRACCIÓN  DE MINERALES,Boratos,21363.305999999997,22140.441,18787.586000000003,10596.142000000002,12523.35,17603.411,17685.628,17473.502,33833.207,28636.634999999995,39846.728,70988.765,75983.221,63860.61200000001,38342.234000000004,70833.732,59038.459800000004,85799.72199999998,100864.38309,141085.99911,131250.7829,165531.142,153146.15561,150057.28891,183382.82906000002,209461.18702,217847.95067,217473.07338,260981.30379000006,313752.79466,295794.22043,321929.97323,375887.06398,37708.89112
EXTRACCIÓN  DE MINERALES,Wólfram,1511.809,677.1080000000001,835.5230000000001,1173.741,1030.7459999999999,916.89,882.157,589.1320000000001,691.7439999999999,937.1930000000001,703.16518,775.7932099999999,712.6429700000001,957.54202,1546.942,1987.3404899999998,2035.05935,1797.3617900000002,2125.98216,1954.0976699999997,2164.64546,2216.59329,2253.4851000000003,2557.4169800000004,1911.33954,1796.9369599999998,2315.7606499999997,1789.19001,2317.76108,2661.33834,2252.2902,1905.9570599999997,2137.6424500000003,388.1065
