País,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022, 2023(p),2024(p),Enero a Marzo 2025(p)
Emiratos Árabes Unidos,,64.325,,55.05,18.0,,,,186.49,,,2.243,30.85711,105.152,30.353,70.297,148.23398999999998,183.066,165.80180000000001,201.47436,307.40085,584.0,930.5638600000001,575.33565,639.79914,818.95261,469.53898,956.4206300000001,676.5933999999999,463.6884600000001,17103.967620000003,605.18109,801.3711300000001,142.72193000000001
España,953.1820000000001,54344.389,388.27599999999995,1291.8919999999998,1634.756,3450.6589999999997,1942.8609999999999,1453.3870000000002,1780.6580000000001,2637.8741999999997,2974.66796,4198.919989999999,6902.23362,9012.04761,7233.86096,10897.93012,15410.65557,55410.23921,39622.42851,55336.34288999999,45288.37056,129327.67494,47932.25254,41750.11999,65555.83185,47282.62446,46105.276139999994,46960.47750999999,29159.72039,51834.408789999994,48054.92457,32724.573780000002,64121.3099,8214.035600000001
Eslovaquia,,32.0,,,36.366,19.6,,,,0.083,,,,,,17.753700000000002,,,,,,,10.0,,,,,,,,,,1.07137,
Eslovenia,,,,,,,,,5.391,,,66.61,,,0.183,,,20.924,170.53499999999997,204.99687999999998,175.445,0.4,46.1,25.379,57.0,77.075,80.0,640.76701,322.8,243.88842,56.0,130.774,743.6813999999999,158.399
Estados Unidos,61357.21600000001,71936.588,153938.384,347813.785,265865.894,289545.139,374140.39200000005,297440.78699999995,124903.57299999999,74156.72567,58006.4925,65882.15280000001,230159.98462,300410.10134000005,160932.5562,229188.75843000002,221008.10131,280688.93078999995,363736.79338,241142.70875,279906.50125999993,146439.61243000004,82262.22060999999,185385.99065999998,103380.79379999998,181147.43581999998,153814.58618,66268.99846999999,77765.32449,68314.57119,53594.23078,52152.91442,54839.681930000006,9473.09918
Estonia,,,,,,,,,,,,,,15.968,24.269,102.49799999999999,43.0,,,,,15.0,,,0.081,,,8.10997,20.0,,112.92125,283.856,23.1,
Etiopia,,,,,,,,,0.033,0.07,,119.214,0.993,1.6789999999999998,38.908,3.7197500000000003,1.365,19.65165,54.91172,3.6613800000000003,45.09100000000001,1.9105,20.309,,,2.958,,,,,,,,
Filipinas,,,,,,,,,,,,,,,,,,,0.112,140.5,,,,0.19640000000000002,,24.0,11.8365,1892.55725,143.95301,248.8981,382.5277,260.568,263.98400000000004,43.992000000000004
Finlandia,41.900999999999996,1.029,13.485000000000001,16.713,0.761,102.32400000000001,0.316,0.661,16.523,11045.5,28857.002,17112.784,8311.104759999998,54.588499999999996,72.279,74.13323999999999,72.58773,67.34909,74.35831999999999,92.732,57.422,109.13453999999999,5025.967839999999,61.6839,10392.23338,10482.0598,5279.0832900000005,22029.95593,13606.95622,8708.97276,5341.6717499999995,12240.88008,5369.67088,
Francia,40684.496,11298.16,13871.749000000002,1270.456,765.0300000000001,897.4639999999999,773.6700000000002,925.168,860.552,1136.0901500000002,1589.3834200000001,3550.91142,3217.80868,3687.71174,4361.78478,6401.59979,5404.62794,6359.209390000001,10232.27477,8498.26344,7879.894540000001,54723.54044,39176.5303,19703.87689,26169.13264,12672.630920000001,8928.424120000001,7515.253960000001,5466.43696,7650.51734,7063.249229999999,5009.91356,7136.097999999999,1286.7756100000001
Gabón,,,473.2,,,,,,,,,,,,,,,26.490000000000002,26.478,,,,,,,,,,23.50166,23.50473,70.5,47.0,211.5,94.0
Gambia,,,,,,,,,,,,,41.74,34.5,,,,,,,,,,,,,,,,,,,303.0,
Georgia,,,,,,,,,,,,,15.05,,,,,,26.0,,,,136.07,,,,,,,,44.0,228.45199999999997,,
Ghana,,,22.0,,,,,,0.265,,,,,,,,,,,,14.568,,,,,,0.0264,147.55,,12047.0,38.408910000000006,323.00563999999997,898.361,329.23199999999997
Granada,,,,,,,,,,,0.027,,,,,,,,,,,,,,,0.037,,,,,,,,
Grecia,,0.068,146.784,195.084,440.748,75.511,46.734,0.109,15.73,31.6,16.2352,7504.7129,11729.68085,63.944,,73.26273,112.0672,124.65,41.173,,26.0,54.68,314.964,66.9881,391.442,275.986,916.8548,567.0944999999999,1366.5755,1290.7730000000001,789.6010000000001,524.14883,1023.9391999999999,114.81099999999999
Groenlandia,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.029,0.026699999999999998,,,,,,,
Guadalupe,,,,229.38999999999996,369.3,38.46,,,,,,,,,,,,,23.805,,,,,124.076,50.94,76.58000000000001,23.555,74.503,,1.0,,,25.232,23.727
