País,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023(p),2024(p),Enero a Marzo 2025(p)
Taiwán,0.00211,0.135997,0.20516700000000002,0.300423,0.15378,0.27107,0.09590499999999999,0.10686700000000002,0.134662,0.0114504,0.14129508000000002,0.0154,0.13106547000000002,0.55293954,0.5897177899999999,0.96920629,0.32880982999999997,0.21910829999999998,0.61862005,1.5364822,1.44539478,3.3837938899999997,2.44974944,0.7353077300000002,1.7160321200000002,0.80953734,3.0245607700000003,2.13862021,1.0192944800000001,2.1837064699999997,1.92027197,1.7472707699999999,2.3212574900000003,0.34017105
Chipre,0.095041,0.113376,0.022594,0.053704,0.023228,0.00267,,,0.002089,,,,,0.13034078,0.00497436,0.019839,,0.024085,,0.010492709999999999,,,,,,,0.024144,,,,,,,
Benín,,,,,,,,,,,,0.00891138,,,,,,0.08278078,0.1615512,0.11238036,0.064455,,,,,,,,,,,,,
Dinamarca,0.025792,0.203012,0.25684,0.132998,0.083088,0.155471,0.187796,0.142565,0.198035,0.13503,0.13843009,0.37266957,0.30072460999999995,0.6980068700000001,1.49879577,0.88636441,0.6925652700000001,1.12035055,0.74628769,1.37479784,1.9546445100000003,5.29105048,5.41785221,4.33162891,3.610954430000001,2.43357984,1.90866324,2.16793267,1.71849019,1.77719757,1.20904725,1.5189187199999996,1.4234255699999998,0.22182105
Dominica,,,,,,,,,,,,0.01713088,,,,,,,0.01382975,,,,,,,,,,,0.02621466,,,,
Ecuador,3.016077,6.780945000000002,14.445386999999998,6.744184,7.050265,3.563809,15.639038000000001,5.5543249999999995,4.712643,7.77205734,2.40017739,11.302474660000001,8.42122046,2.67574106,10.65128101,18.98309094,13.37319466,35.35352399,63.65500904000001,89.57600927000001,221.21090276,150.27925046000001,102.34922586,122.34606908000004,89.44343769000001,114.87594475,166.05859084,147.18846207999997,180.13679689000003,294.11245421,434.37199353,256.83242078999996,207.92262425,24.156809730000003
Egipto,,0.024761,,0.06572800000000001,0.096286,0.268669,0.45530999999999994,0.5309510000000001,0.8758720000000001,0.51094946,1.08422521,0.5532140099999999,2.69584561,0.5871035699999999,0.51066103,0.33064466000000003,0.38472594000000004,0.50560069,0.54891354,0.30147954,0.566197,2.21059568,0.139628,0.387389,1.2e-05,,0.0135,0.060114,,,,,,
El Salvador,0.0001,,0.061887,0.0003,,0.0016,0.012976000000000001,0.027660999999999998,0.007339999999999999,,,0.0155055,7.709175020000002,0.23735378000000001,0.24809598,0.0881008,4.552137999999999,1.04605843,0.06439294,0.15739288,0.11803702999999999,0.17527997,0.21552219,0.23278571,0.27858753,0.38526034000000003,0.54036251,0.39922616,1.67503335,0.44195851,2.0570142,0.95078457,1.1058411499999998,0.27687472999999996
Emiratos Árabes Unidos,,0.046801,,0.118375,0.0378,,,,0.125459,,,0.01726024,0.02912911,0.29174,0.052637500000000004,0.24183649999999998,0.28180352,0.32021443,0.30620182,0.45231390000000005,1.08756562,0.8779993799999999,2.3352964199999997,59.92090341000001,199.99607659,367.55134339,367.86980636,850.8660462299999,285.16566121,438.18859979999996,531.8436425,893.1681043,483.48561209,62.02372404999999
España,2.3377589999999997,6.520868,1.305494,2.4659640000000005,2.6318209999999995,9.183380999999999,6.769513000000001,2.4909289999999995,3.054825,5.95141824,5.024884699999999,6.0888930100000005,10.20229394,14.70194497,11.500124390000002,28.133024220000003,45.79312607999999,96.76634904999999,59.41173544,93.59472605999999,63.77225182,106.37330816,96.39339122000001,88.05847219999998,96.06836767,134.16293917000002,168.18266401000002,147.21537296999998,78.88841695,168.76885556,161.31611847000002,77.18224146,113.05537672,26.475190640000005
